kabupaten/kota,kecamatan,sekolah,rombel,sekolah_id,npsn,bentuk_pendidikan,status_sekolah,akreditasi,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik
Kab. Ngawi,Kec. Ngawi,SLB BERANDA ISTIMEWA GRUDO,11,9F22353A-2193-4EAC-B87E-7376AEC485E8,20554779,SLB,Negeri,B,1,2,0,0,0,3,0,1,0,2,4,2,2,4,3,4,6,4,1,7,5,2,3,7,6,1,1,2,3,1,0,0,0,1,0,0,0,0,0,6,6,4,63,34,29,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,4,,,,,,,,,,,,,,,,,
Kab. Ngawi,Kec. Ngawi,SLB NEGERI 1 NGAWI,26,F0427226-E4FE-E111-93D3-9DFE468A5834,20554779,SLB,Negeri,B,20,0,0,2,0,0,1,2,0,4,21,3,2,5,7,4,2,1,1,1,1,0,1,5,2,7,4,8,12,10,6,6,7,7,7,2,7,0,0,6,25,5,121,63,58,17,17,1,1,1,1,0,0,1,1,0,0,1,1,0,0,9,9,0,0,0,0,0,0,1,1,0,0,0,0,15,15,,,,,,,,,,,,,,,,,
Kab. Ngawi,Kec. Ngrambe,SLBN Dr. RADJIMAN WEDYODININGRAT,26,EA6BF486-A684-43F1-8F2E-2F5F3FEE391E,69976860,SLB,Negeri,B,13,1,1,0,0,0,0,0,0,3,12,4,1,2,3,7,2,8,2,8,2,7,2,4,0,11,1,5,4,10,6,6,4,6,1,2,6,0,0,10,15,5,109,76,33,13,13,0,0,0,1,0,0,1,1,1,1,0,0,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,6,6,,,,,,,,,,,,,,,,,
Kab. Ngawi,Kec. Padas,SLB NEGERI 1 SAMBIROTO NGAWI,15,509BE1F1-8B18-E111-BB31-F9EFE6426536,20508668,SLB,Negeri,B,15,0,0,0,0,0,1,1,0,4,13,3,0,5,3,3,3,4,2,3,2,3,1,5,4,3,2,5,4,7,6,7,2,4,4,6,2,0,0,6,17,3,90,55,35,11,11,1,1,1,1,0,0,1,1,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,
Kab. Pacitan,Kec. Arjosari,SLB KUSUMA INSAN MANDIRI,0,32BEBAB4-334F-48A8-A156-BC94A3DA2240,70053767,SLB,Swasta,Belum Akreditasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
Kab. Pacitan,Kec. Donorojo,SLB DIKTRA TUNAS BANGSA,28,E5408CDC-93E3-4635-BC2D-939E28AE5200,20555421,SLB,Swasta,B,4,1,1,2,0,1,1,1,2,7,8,0,1,0,0,3,0,0,2,3,5,2,0,0,2,2,2,2,2,3,2,0,2,1,2,0,3,0,0,11,15,1,40,18,22,32,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,
Kab. Pacitan,Kec. Ngadirojo,SLB NEGERI NGADIROJO PACITAN,12,50F9D4F5-8B18-E111-971C-A5611EF8DD35,20511067,SLB,Negeri,B,9,0,0,0,0,0,1,0,1,4,6,1,3,3,0,2,0,3,2,3,0,4,2,2,3,2,0,5,0,2,3,0,0,3,1,1,2,0,0,7,10,4,44,31,13,8,8,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,3,1,1,0,0,0,0,1,1,0,0,0,0,5,5,,,,,,,,,,,,,,,,,
Kab. Pacitan,Kec. Pacitan,SLB YKK PACITAN,19,E0F0D362-DCE0-E111-A6D0-2F96F85D9E65,20511065,SLB,Swasta,B,12,0,3,2,0,0,2,1,0,9,16,4,2,1,3,2,2,2,2,6,2,2,4,4,1,9,3,6,6,4,5,1,1,0,0,2,4,0,0,11,25,6,72,39,33,14,14,1,1,0,0,0,0,1,1,1,1,1,1,0,0,3,3,0,0,0,0,0,0,1,1,0,0,0,0,12,12,,,,,,,,,,,,,,,,,
Kab. Pacitan,Kec. Punung,SLB NEGERI PUNUNG PACITAN,15,40DAD4F5-8B18-E111-A660-D13DE817C497,20511066,SLB,Negeri,B,11,0,0,0,0,1,1,0,1,1,10,1,2,3,1,2,1,2,1,3,2,0,2,2,1,3,3,4,2,5,2,1,1,0,2,5,5,0,0,5,11,3,53,30,23,8,8,1,1,0,0,0,0,0,0,1,1,1,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,
Kab. Pamekasan,Kec. Larangan,SLB PGRI PAMEKASAN,21,2083D378-8D18-E111-97BC-A79EF59C38CE,20584079,SLB,Swasta,B,2,1,1,0,0,1,0,1,0,5,4,0,0,1,0,0,1,1,2,3,1,1,0,1,1,1,0,0,2,0,1,3,0,1,2,0,1,0,0,2,9,0,23,12,11,3,3,0,0,1,1,0,0,0,0,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,
