kabupaten/kota,kecamatan,sekolah,rombel,guru_kelas,guru_matematika,guru_bahasa_indonesia,guru_bahasa_inggris,guru_sejarah_indonesia,guru_pkn,guru_penjaskes,guru_agama_budi_pekerti,guru_seni_budaya,ptk_laki,ptk_perempuan,pegawai_laki,pegawai_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,jumlah_kirim,ptk,pegawai,pd,pd_laki,pd_perempuan,before_ruang_kelas,after_ruang_kelas,before_ruang_perpus,after_ruang_perpus,before_ruang_lab,after_ruang_lab,before_ruang_praktik,after_ruang_praktik,before_ruang_pimpinan,after_ruang_pimpinan,before_ruang_guru,after_ruang_guru,before_ruang_ibadah,after_ruang_ibadah,before_ruang_uks,after_ruang_uks,before_toilet,after_toilet,before_gudang,after_gudang,before_ruang_sirkulasi,after_ruang_sirkulasi,before_tempat_bermain_olahraga,after_tempat_bermain_olahraga,before_ruang_tu,after_ruang_tu,before_ruang_konseling,after_ruang_konseling,before_ruang_osis,after_ruang_osis,before_bangunan,after_bangunan,identitas_valid,ptk_valid,pd_valid,prasarana_valid,total_valid,sekolah_id,semester_id,sumber_air,sumber_air_minum,kecukupan_air_bersih,jamban_kk,tipe_jamban,jml_hari_cuci_tangan,jml_wastafel,jml_wastafel_rusak,air_mengalir_wastafel,memiliki_drainase,menguras_tangki_septik,akreditasi
Kab. Blitar,Kec. Talun,SLB NEGERI TALUN KABUPATEN BLITAR,24,18,0,0,0,0,1,1,1,0,5,16,5,4,9,2,4,2,5,2,5,2,0,2,2,4,3,3,8,2,6,5,6,3,4,7,4,3,0,0,12,21,9,100,60,40,13,13,2,2,0,1,1,1,1,1,2,2,1,1,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,16,16,,,,,,,,,,,,,,,,,,,A
Kab. Blitar,Kec. Wates,SLB SANTA THERESIA,17,4,0,0,0,0,0,0,0,0,2,2,0,1,2,0,4,1,3,0,2,0,7,1,3,0,1,1,5,2,0,3,2,6,1,1,0,0,0,0,22,4,1,45,30,15,5,5,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Blitar,Kec. Wlingi,SLB SARI WIYATA,24,8,0,0,0,0,0,0,0,0,4,4,3,1,1,0,3,3,3,5,8,2,3,5,1,1,0,6,5,3,3,0,3,2,4,1,0,1,0,0,14,8,4,63,34,29,6,6,1,1,0,0,0,0,1,1,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,A
Kab. Bojonegoro,Kec. Baureno,SLB NEGERI GUNUNGSARI BOJONEGORO,14,11,0,0,0,0,0,1,0,0,2,11,1,2,9,3,5,2,5,2,5,2,5,1,2,6,5,4,4,4,3,1,4,3,5,0,1,2,0,0,11,13,3,91,58,33,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Bojonegoro,SLB NEGERI SUMBANG BOJONEGORO,18,18,1,0,0,0,0,1,0,0,4,14,1,3,4,4,10,3,6,6,6,3,1,1,2,1,4,3,4,2,8,5,2,3,5,2,2,3,0,0,3,18,4,98,57,41,11,11,1,1,0,0,0,0,1,1,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,11,11,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Bojonegoro,SLB PUTRA HARAPAN BOJONEGORO,46,4,4,0,1,0,0,2,3,0,6,10,1,1,5,0,3,1,9,2,6,4,5,5,2,4,8,8,8,7,10,6,13,7,5,6,8,5,0,0,21,16,2,137,82,55,15,15,1,1,0,0,1,1,1,1,1,1,1,1,1,1,5,5,2,2,0,0,0,0,1,1,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,A
Kab. Bojonegoro,Kec. Kalitidu,SLB PGRI KALITIDU,19,5,0,1,1,0,2,1,1,0,3,8,1,1,2,1,2,1,4,3,0,2,1,2,5,1,7,3,6,1,5,2,8,5,9,4,5,1,0,0,11,11,2,80,54,26,6,6,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Kanor,SLB NEGERI TAMBAHREJO BOJONEGORO,14,8,0,0,1,0,0,1,1,0,2,11,1,1,4,1,1,3,3,1,3,2,5,2,3,2,2,2,3,2,3,1,1,1,3,5,3,2,0,0,5,13,2,61,37,24,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Kapas,SLB TUT WURI HANDAYANI KAPAS,14,8,0,1,1,0,0,1,1,0,1,11,1,0,7,1,4,1,4,2,5,2,3,1,3,3,5,1,4,5,9,2,8,3,5,3,3,1,0,0,25,12,1,92,64,28,8,8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Kasiman,SLB NEGERI  BATOKAN BOJONEGORO,13,5,0,0,1,0,0,0,1,0,2,7,1,2,1,0,1,3,0,1,2,2,2,2,5,1,3,3,2,1,5,2,6,4,1,1,5,2,0,0,7,9,3,55,33,22,4,4,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Kedungadem,SLBN TUMBRASANOM BOJONEGORO,13,7,1,1,1,0,1,1,1,1,1,8,0,1,3,1,2,2,2,2,4,1,3,2,2,5,2,3,2,2,4,1,1,2,3,2,0,2,0,0,11,9,1,64,33,31,3,3,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,13,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Kepohbaru,SLB WIDYADHARI BOJONEGORO,13,9,0,0,0,0,0,0,0,0,4,5,0,1,1,1,1,1,0,0,0,1,1,0,0,1,4,0,5,1,5,1,1,1,1,3,2,0,0,0,9,9,1,36,25,11,5,5,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Ngraho,SLB NEGERI KALIREJO BOJONEGORO,13,11,0,0,0,0,0,1,0,0,3,8,1,2,7,2,4,2,5,2,5,2,0,0,2,4,2,2,1,4,4,4,1,1,6,0,1,2,0,0,14,11,3,64,39,25,6,6,0,0,0,0,1,1,1,1,1,1,1,1,1,1,6,6,1,1,0,0,1,1,1,1,0,0,0,0,4,11,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Padangan,SLB MUHAMMADIYAH PADANGAN,12,5,4,1,2,0,4,4,1,3,3,6,0,1,3,1,9,3,7,3,3,1,3,4,1,1,3,1,4,4,3,2,5,4,6,0,1,1,0,0,8,9,1,73,48,25,3,3,1,1,0,0,1,1,1,1,1,1,0,0,1,1,2,2,1,1,0,0,0,0,0,0,1,1,0,0,2,2,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Sugihwaras,SLB NEGERI SUGIHWARAS BOJONEGORO,13,6,0,0,0,0,0,1,0,0,4,3,2,2,2,2,2,5,1,0,3,1,3,2,2,4,1,4,4,0,4,3,2,3,3,0,3,2,0,0,5,7,4,64,36,28,4,4,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,,B
Kab. Bojonegoro,Kec. Sumberrejo,SLB PKK SUMBERREJO,15,10,0,0,0,0,0,0,0,0,4,6,2,4,0,3,2,5,4,4,10,8,7,6,0,1,3,1,11,10,1,3,20,9,0,1,0,0,0,0,6,10,6,109,58,51,4,4,1,1,1,1,0,0,1,1,1,1,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,A
Kab. Bondowoso,Kec. Bondowoso,SDLBN BADEAN,13,13,0,0,0,0,0,1,13,0,3,11,2,3,5,7,10,8,6,7,8,5,7,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,5,73,39,34,8,7,1,0,0,0,0,0,1,1,1,1,1,1,1,0,5,5,1,1,0,0,0,0,1,1,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,B
Kab. Bondowoso,Kec. Bondowoso,SMALB NEGERI BONDOWOSO,8,2,1,1,0,0,0,0,0,0,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,9,3,2,1,0,0,11,3,6,25,18,7,9,9,1,1,0,0,0,0,1,1,1,1,1,1,0,0,6,6,0,0,0,0,0,0,1,1,0,0,0,0,11,11,,,,,,,,,,,,,,,,,,,B
Kab. Bondowoso,Kec. Bondowoso,SMPLB NEGERI BONDOWOSO,5,5,0,0,0,0,0,0,0,0,1,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,9,6,13,7,13,1,0,0,0,0,0,0,0,0,5,5,4,49,35,14,12,12,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Bondowoso,Kec. Bondowoso,TKLB NEGERI BONDOWOSO,4,4,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,11,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,Belum Akreditasi
Kab. Bondowoso,Kec. Tapen,SLB NEGERI CINDOGO,12,12,0,0,0,0,0,1,2,0,5,7,1,1,4,3,5,5,2,1,2,0,2,2,1,0,4,3,3,1,2,2,1,0,3,2,1,3,0,0,7,12,2,52,30,22,4,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,19,,,,,,,,,,,,,,,,,,,B
Kab. Gresik,Kec. Cerme,SLBN CERME,20,14,1,0,0,0,0,2,1,0,5,11,1,1,4,6,9,4,9,6,7,4,5,4,4,4,8,7,7,5,8,3,10,6,11,6,4,4,0,0,10,16,2,145,86,59,15,15,1,1,1,1,0,0,1,1,2,2,1,1,1,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,A
Kab. Gresik,Kec. Driyorejo,SLB AUTIS HARAPAN BANGSA,8,5,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,1,2,2,1,1,0,0,2,1,0,0,0,4,1,0,0,0,0,0,0,0,0,4,6,1,18,10,8,4,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,C
Kab. Gresik,Kec. Driyorejo,SLB HARAPAN MULYA,11,6,0,0,0,0,0,0,0,0,3,2,0,1,2,0,3,0,4,2,4,4,3,1,1,0,4,0,7,2,5,1,3,0,0,0,1,1,0,0,2,5,1,48,37,11,8,8,1,1,0,0,0,0,1,1,1,1,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Gresik,Kec. Dukun,SLB AL-IKHLAS GRESIK,10,7,0,0,0,0,0,0,0,0,0,5,0,1,3,3,8,5,5,1,9,5,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,2,5,1,58,37,21,9,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,3,3,,,,,,,,,,,,,,,,,,,C
Kab. Gresik,Kec. Kebomas,SLB KEMALA BHAYANGKARI 2 GRESIK,31,17,2,1,3,0,0,1,1,0,1,26,1,1,6,7,5,6,12,8,11,7,2,3,9,3,10,5,14,4,5,7,5,6,4,2,9,2,0,0,10,27,2,154,94,60,29,29,1,1,0,0,0,0,1,1,1,1,2,2,1,1,6,6,1,1,0,0,0,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,A
Kab. Gresik,Kec. Manyar,SLB AL FALAH,21,13,0,0,0,0,0,0,4,0,3,13,1,0,4,3,8,3,4,4,7,7,4,2,2,1,6,3,11,2,7,5,4,5,4,4,7,3,0,0,8,16,1,110,68,42,17,17,1,1,0,0,0,0,1,1,1,1,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Gresik,Kec. Sidayu,SLBS MUHAMMADIYAH,12,12,0,0,0,0,0,0,1,0,0,14,2,1,0,1,0,1,1,1,5,3,2,0,5,1,4,0,2,2,4,2,5,0,6,4,3,2,0,0,3,14,3,54,37,17,11,11,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,3,1,1,0,0,0,0,0,0,1,1,0,0,5,5,,,,,,,,,,,,,,,,,,,B
Kab. Gresik,Kec. Ujung Pangkah,SLB DHARMA WANITA,13,5,0,0,1,0,0,0,2,0,2,5,0,1,2,3,1,1,1,1,3,1,1,1,4,1,1,1,1,1,1,1,1,0,3,2,1,0,0,0,9,7,1,34,21,13,8,8,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,B
Kab. Jember,Kec. Balung,SLB ABC BALUNG,13,12,0,0,0,0,0,0,0,0,2,9,1,0,6,3,8,2,4,3,4,4,7,4,1,1,7,2,5,4,6,1,9,6,5,2,2,2,0,0,34,11,1,100,65,35,19,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Jember,Kec. Kalisat,SLB HARAPAN PELANGI,10,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,3,2,2,1,4,2,0,0,4,2,2,3,6,3,3,5,4,1,1,1,0,0,12,2,2,51,30,21,4,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,2,3,,,,,,,,,,,,,,,,,,,B
Kab. Jember,Kec. Kaliwates,SDLB-BCD YPAC,8,8,0,0,0,0,0,0,0,0,1,6,1,1,7,2,5,0,8,2,6,5,1,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,49,35,14,10,10,1,1,0,0,0,0,1,1,1,1,1,1,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Jember,Kec. Kaliwates,SMALBS BCD YPAC,5,5,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,7,4,0,0,12,5,2,21,13,8,6,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Jember,Kec. Kaliwates,SMPLB-BCD YPAC JEMBER,6,6,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,3,4,6,0,0,0,0,0,0,0,0,12,5,2,25,14,11,11,11,0,0,0,0,0,0,1,1,2,2,1,1,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,B
Kab. Jember,Kec. Patrang,SLB NEGERI BRANJANGAN,49,37,1,0,1,0,0,0,0,0,13,28,6,1,13,5,5,3,5,1,10,5,10,2,5,3,10,1,10,3,14,8,12,5,6,5,7,5,0,0,14,41,7,153,107,46,59,60,1,1,0,0,0,0,1,1,1,1,1,1,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,A
Kab. Jember,Kec. Patrang,SLB NEGERI JEMBER,21,21,0,0,0,0,0,0,1,0,5,17,7,1,7,4,16,8,12,10,5,5,5,6,7,7,7,4,5,10,9,3,6,6,5,5,3,4,0,0,24,22,8,163,90,73,22,22,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,1,1,0,0,0,0,9,9,,,,,,,,,,,,,,,,,,,A
Kab. Jember,Kec. Semboro,SLB ABC TPA V SIDOMEKAR,12,7,1,1,0,0,1,1,0,0,1,6,2,0,4,6,5,3,4,1,5,1,5,5,4,4,6,6,3,5,2,3,6,5,4,7,4,1,0,0,8,7,2,99,52,47,5,5,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Jember,Kec. Sukorambi,SLB STARKIDS JEMBER,16,5,0,0,0,0,1,0,0,1,1,9,0,1,1,3,1,1,3,3,2,0,7,0,5,2,1,0,1,3,2,2,4,1,0,0,1,1,0,0,4,10,1,50,33,17,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,6,0,0,0,0,1,1,1,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,B
Kab. Jember,Kec. Sumbersari,SLB-C TPA JEMBER,12,9,0,0,0,0,0,0,0,0,4,4,1,1,7,2,4,2,8,3,4,2,4,1,5,5,3,3,0,7,4,2,7,2,2,2,6,4,0,0,19,8,2,89,54,35,14,14,1,1,0,0,0,0,1,1,1,1,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Diwek,SLB SABILILLAH,22,4,5,5,2,0,5,5,2,0,3,6,1,0,2,2,5,2,1,1,1,1,0,0,1,1,2,2,2,1,2,2,1,2,2,1,2,4,0,0,6,9,1,40,21,19,10,10,1,1,0,0,0,0,1,1,1,1,0,0,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Gudo,SLB SUNAR AJI,12,3,0,0,0,0,0,0,1,0,1,2,2,2,1,0,2,0,1,0,5,0,1,0,1,3,1,3,3,1,0,2,1,3,1,0,0,1,0,0,10,3,4,30,17,13,5,5,1,1,0,0,2,2,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,,C
Kab. Jombang,Kec. Jogoroto,SLB DARUL ULUM,12,7,1,0,0,0,0,1,0,0,1,7,0,1,2,5,4,1,7,1,5,2,2,1,2,2,3,6,4,3,2,0,3,2,2,0,1,1,0,0,3,8,1,61,37,24,9,9,1,1,0,0,0,0,1,1,0,0,1,1,1,1,4,4,1,1,0,0,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,A
Kab. Jombang,Kec. Jombang,SLB MUHAMMADIYAH ,26,10,0,1,2,0,0,0,2,0,7,7,3,2,6,7,5,8,7,1,3,2,5,3,10,4,5,2,3,4,4,0,11,4,3,1,7,4,0,0,9,14,5,116,74,42,20,20,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,2,2,1,1,0,0,17,17,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Jombang,SLB MUHAMMADIYAH,26,10,0,1,2,0,0,0,2,0,7,7,3,2,6,7,5,8,7,1,3,2,5,3,10,4,5,2,3,4,4,0,11,4,3,1,7,4,0,0,9,14,5,116,74,42,20,20,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,0,0,0,0,0,0,2,2,1,1,0,0,17,17,,,,,,,,,,,,,,,,,,,
Kab. Jombang,Kec. Jombang,SLB NEGERI JOMBANG,24,12,1,2,0,0,0,2,1,0,8,10,1,2,3,2,4,1,3,6,6,2,4,2,4,3,6,6,6,4,4,4,7,4,8,6,1,2,0,0,15,18,3,98,56,42,8,8,0,0,0,0,0,0,1,1,1,1,1,1,0,0,3,3,2,2,0,0,0,0,1,1,0,0,0,0,8,8,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Kabuh,SLB CENDEKIA,12,8,0,0,0,0,0,0,1,0,2,8,3,0,2,4,3,2,5,3,3,6,3,0,1,0,3,3,4,2,6,1,2,1,5,3,5,3,0,0,9,10,3,70,42,28,12,12,1,1,0,0,0,0,1,1,1,1,1,1,1,1,10,10,1,1,0,0,0,0,1,1,2,2,1,1,12,12,,,,,,,,,,,,,,,,,,,A
Kab. Jombang,Kec. Kesamben,SLB PELITA BANGSA,12,4,0,1,0,0,0,0,0,0,1,4,2,3,2,0,1,0,1,0,1,1,3,0,3,0,1,2,1,0,2,0,2,0,1,1,1,0,0,0,13,5,5,23,19,4,4,5,1,1,0,0,0,0,1,1,2,2,1,1,1,1,3,4,0,0,0,0,0,0,0,1,0,0,0,0,26,24,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Kesamben,SLB PELITA HATI,11,6,0,0,0,0,0,0,0,0,0,6,0,5,0,0,2,0,2,0,5,1,0,1,1,0,1,2,1,0,1,1,1,2,0,3,0,2,0,0,6,6,5,26,14,12,5,6,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Megaluh,SLB NEGERI BALONGSARI JOMBANG,20,13,0,0,0,0,0,1,2,0,6,10,3,1,1,3,5,2,3,3,1,0,7,5,3,2,4,2,2,4,2,1,6,5,1,0,3,0,0,0,18,16,4,65,38,27,7,7,1,1,0,0,0,0,1,1,1,1,1,1,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,6,6,,,,,,,,,,,,,,,,,,,A
Kab. Jombang,Kec. Megaluh,SLB PERMATA HATI,14,13,0,0,0,0,0,0,0,0,5,5,1,2,6,1,2,1,4,2,4,1,4,0,1,1,2,6,6,2,2,0,5,1,3,2,2,0,0,0,3,10,3,62,43,19,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,C
Kab. Jombang,Kec. Mojoagung,SLB TUNAS HARAPAN III,33,9,1,2,2,0,0,3,0,0,3,6,0,4,10,3,6,5,3,2,3,0,0,2,3,5,7,4,3,1,1,2,10,2,4,3,2,0,0,0,7,9,4,81,52,29,14,14,1,1,0,0,0,0,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,1,1,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Ngoro,SLB ABCD KURNIA ASIH,15,14,1,1,0,0,1,1,0,0,2,12,1,0,6,4,3,3,1,4,7,6,13,8,8,7,1,3,7,2,4,2,9,2,8,3,9,5,0,0,13,14,1,131,80,51,19,19,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Peterongan,SLB HARDIKA BAKTI,14,6,0,0,1,0,0,0,3,0,3,4,0,2,3,0,1,1,3,1,0,1,3,2,4,1,3,5,3,2,1,1,0,3,2,3,2,0,0,0,7,7,2,48,27,21,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Peterongan,SLB TUNAS HARAPAN II PETERONGAN,15,7,0,0,1,0,0,0,0,0,3,5,0,2,6,8,1,2,4,3,1,4,3,0,1,0,2,2,2,2,1,1,0,0,0,0,0,0,0,0,20,8,2,43,21,22,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Sumobito,SLB TUNAS HARAPAN IV,25,6,1,0,2,0,0,0,0,0,1,5,0,1,10,7,5,3,6,2,1,2,2,0,1,1,4,6,5,3,3,3,2,2,3,2,0,0,0,0,9,6,1,73,42,31,7,7,1,1,0,0,0,0,2,2,1,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,B
Kab. Jombang,Kec. Tembelang,SLB TUNAS HARAPAN I TEMBELANG,12,8,1,0,2,0,0,1,0,0,1,6,2,1,3,0,3,2,0,0,2,4,3,1,2,0,2,4,4,5,5,2,0,3,3,2,0,0,0,0,6,7,3,59,33,26,8,8,1,1,3,3,0,0,2,2,2,2,2,2,2,2,6,6,2,2,0,0,1,1,2,2,2,2,0,0,2,2,,,,,,,,,,,,,,,,,,,B
Kab. Kediri,Kec. Badas,SLB PGRI BADAS,12,4,0,0,1,0,1,0,0,0,3,3,1,2,1,0,0,1,2,1,4,0,2,1,3,2,1,3,0,2,1,3,5,0,4,1,5,0,0,0,14,6,3,42,28,14,2,2,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,C
Kab. Kediri,Kec. Gampengrejo,SLB GAMPENGREJO,11,2,1,0,0,0,0,0,2,0,0,5,0,2,2,0,1,0,2,0,1,0,1,0,0,0,5,1,2,0,0,0,0,1,3,2,0,0,0,0,12,5,2,21,17,4,15,15,1,1,0,0,0,0,0,0,2,2,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,C
Kab. Kediri,Kec. Grogol,SLB DHARMA WANITA,12,7,1,1,1,0,0,1,0,0,3,7,0,1,5,1,5,3,3,0,7,3,9,4,9,3,2,1,7,3,3,5,2,0,4,4,3,1,0,0,4,10,1,87,59,28,13,13,1,1,0,0,1,1,0,0,1,1,1,1,1,1,4,4,3,3,0,0,0,0,0,0,0,0,0,0,10,10,,,,,,,,,,,,,,,,,,,A
Kab. Kediri,Kec. Gurah,SLB DHARMA PUTRA DAHA,18,11,0,1,0,0,0,0,1,0,2,12,2,1,1,0,3,0,8,2,2,2,6,3,2,5,14,3,6,4,11,4,4,5,2,3,2,2,0,0,14,14,3,94,61,33,7,7,0,0,0,0,0,0,2,2,2,2,0,0,1,1,4,4,1,1,2,2,0,0,1,1,1,1,0,0,7,7,,,,,,,,,,,,,,,,,,,B
Kab. Kediri,Kec. Kandangan,SLB RAHARJA SEJAHTERA KANDANGAN,11,6,4,4,3,0,6,6,6,0,1,4,1,2,2,2,2,1,3,1,4,2,4,2,3,1,1,2,0,0,1,3,4,1,1,2,4,2,0,0,4,5,3,48,29,19,9,9,1,1,1,1,0,0,0,0,1,1,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,7,7,,,,,,,,,,,,,,,,,,,C
